# intraday sessions v1 — one row per complete regular session; the rules, the null and trial 3 run from this file anywhere
# {"symbol": "SPY", "timeframe": "1m", "provenance": {"source": "alpaca", "fetched_at": "2026-09-03T18:45:53+00:00", "adjusted": null, "path": "/Users/danielalba/Desktop/ca/tools/market/bars/SPY-1m.csv"}, "skipped": {"202 bars": 1, "185 bars": 1, "300 bars": 1, "233 bars": 1, "214 bars": 1, "206 bars": 1, "212 bars": 1, "207 bars": 1, "204 bars": 2, "47 bars": 1, "215 bars": 1, "213 bars": 2}, "sessions": 1518, "measured_by": "intraday.measure v1", "exported_at": "2026-09-04T02:44:31+00:00"}
date,r_first30,r_open_to_1530,open_1530,last_print,fill_slipped,exit_time
2021-01-12,-0.0006334125098969023,-0.0002903140670360571,378.89,378.74,0,15:59
2021-01-13,0.0003300765777660697,0.0027726432532346745,379.755,379.79,0,15:59
2021-01-14,0.00044656929704744996,-0.004071661237785018,379.07,378.52,0,15:59
2021-01-15,0.0010219791887873253,-0.0005972605648758567,376.51,375.66,0,15:59
2021-01-19,-0.0017708470992467973,0.001136513809964157,378.85,378.6,0,15:59
2021-01-20,0.0006035082195194885,0.008514713792786788,384.3,383.84,0,15:59
2021-01-21,-0.001768622555139432,0.0006112151477319916,384.65,384.17,0,15:59
2021-01-22,0.001988227599738268,0.004251144538914398,383.88,382.81,0,15:59
2021-01-25,0.00041702504756679915,-0.0016159720593218463,383.03,384.41,0,15:59
2021-01-26,-0.001673564172753328,-0.0012843632023454843,384.925,383.73,0,15:59
2021-01-27,-0.006864266365094851,-0.017752413013176205,373.44,374.4,0,15:59
2021-01-28,0.003254948850803574,0.008157300385279731,379.35,377.49,0,15:59
2021-01-29,-0.000958466453674145,-0.009225239616613479,372.195,370.01,0,15:59
2021-02-01,-0.0034509510178968306,0.007490436317915572,376.59,376.19,0,15:59
2021-02-02,0.003332104098619615,0.00819197134127081,382.725,381.39,0,15:59
2021-02-03,0.0009412010771523427,6.53611859133818e-05,382.49,381.86,0,15:59
2021-02-04,0.0022192052634328885,0.005443579969714563,385.11,386.16,0,15:59
2021-02-05,-0.0028078310149406427,-0.002588871715610508,387.25,387.65,0,15:59
2021-02-08,0.000680586588591714,0.0004366027172097997,389.52,390.49,0,15:59
2021-02-09,0.0012319379924543572,0.002232887611323564,390.49,390.26,0,15:59
2021-02-10,-0.001657698094922444,-0.0044120272372548675,390.43,390.09,0,15:59
2021-02-11,-0.0020954717366861164,-0.0030793212715934937,390.23,390.7,0,15:59
2021-02-12,0.001308212238197104,0.003988764765483488,391.4,392.6,0,15:59
2021-02-16,-0.0005584465033633412,-0.0030714557684985433,392.67,392.29,0,15:59
2021-02-17,0.0018442150559667692,0.004533695345918298,392.18,392.4,0,15:59
2021-02-18,0.0010011294794125547,0.004055857890953751,391.15,390.75,0,15:59
2021-02-19,-0.0003825066938670796,-0.003978069616218272,390.64,390.05,0,15:59
2021-02-22,0.0024801715451985284,0.001692200377192865,387.69,387.14,0,15:59
2021-02-23,-0.006343264181355002,0.010736754536473825,388.875,387.36,0,15:59
2021-02-24,0.00016826300802486038,0.014470618690137105,391.86,391.76,0,15:59
2021-02-25,0.0011268759924192295,-0.02112892485786,382.17,382.32,0,15:59
2021-02-26,-0.005827869705484434,-0.004865230513060648,382.61,380.31,0,15:59
2021-03-01,0.0033449152102886792,0.012070217289840812,390.335,389.5,0,15:59
2021-03-02,-0.001372445903826236,-0.005015199517719893,387.84,386.5,0,15:59
2021-03-03,-0.003551338880680155,-0.0073878217590791495,382.92,381.43,0,15:59
2021-03-04,-0.0009968258964875298,-0.013955562550824974,375.79,376.74,0,15:59
2021-03-05,-0.008857698575408746,0.007490932029648345,383.36,383.61,0,15:59
2021-03-08,-0.0020015076291232115,-0.004042005666606063,383.24,381.59,0,15:59
2021-03-09,0.0035636533278042837,0.00846205681111356,389.04,386.97,0,15:59
2021-03-10,0.0015652263163294933,0.0008724212254951347,390.11,389.51,0,15:59
2021-03-11,0.0016695980219723072,0.004575463281588643,394.12,393.55,0,15:59
2021-03-12,0.0020149463106078347,0.0035835437549418536,393.43,394.0,0,15:59
2021-03-15,-0.0008241618907541826,0.0009382766140892951,394.735,396.485,0,15:59
2021-03-16,0.0007679717990682899,-0.0023165050988290803,396.35,395.98,0,15:59
2021-03-17,0.0004055458393532607,0.006564773274529312,397.16,397.28,0,15:59
2021-03-18,0.0016731310365807328,-0.004258879002205562,392.8,391.49,0,15:59
2021-03-19,-0.003667701146477187,0.002308343378901734,390.78,389.48,0,15:59
2021-03-22,0.0029990003332223125,0.0076128469997180925,393.075,392.58,0,15:59
2021-03-23,0.001263061201056459,-0.006442887944782427,389.36,389.6,0,15:59
2021-03-24,-0.0007672634271099765,-0.004092071611253245,389.42,387.5,0,15:59
2021-03-25,0.0006996449949470129,0.009173123267082861,389.43,389.62,0,15:59
2021-03-26,0.0008696986749883173,0.004872870517214967,392.91,395.88,0,15:59
2021-03-29,-0.0008619815434539602,0.005463441841598193,396.645,395.74,0,15:59
2021-03-30,-0.0008366715683789661,0.0017620810303737855,395.1,394.87,0,15:59
2021-03-31,0.0019982294169722525,0.004755280131528927,397.25,396.11,0,15:59
2021-04-01,3.7653437758855546e-05,0.00306247960438788,399.6,400.54,0,15:59
2021-04-05,0.0025027877586421,0.006108288935695594,406.0,406.31,0,15:59
2021-04-06,0.002489156151419536,0.0012569006309148811,406.36,406.08,0,15:59
2021-04-07,0.0007882938365275649,0.0003325614622851081,406.065,406.6,0,15:59
2021-04-08,-0.0005148068248677085,0.0009805844283192755,408.36,408.54,0,15:59
2021-04-09,0.0017018046475183457,0.0052156027326819565,410.61,411.44,0,15:59
2021-04-12,-2.433800623047322e-05,0.000316394080996929,411.03,411.57,0,15:59
2021-04-14,0.0023496354431606914,-0.0021800741225200815,411.87,411.24,0,15:59
2021-04-15,0.00044715152394081414,0.002997123728035289,414.98,415.7,0,15:59
2021-04-16,-0.00268437073077199,0.0006591088847878179,417.52,417.3,0,15:59
2021-04-19,0.0008648856428983276,-0.0046127234287911545,414.32,415.32,0,15:59
2021-04-20,0.0010267932642360478,-0.004856128143799543,411.95,412.19,0,15:59
2021-04-21,0.004665856622114273,0.008845686512758189,415.18,416.07,0,15:59
2021-04-22,-0.001394633067230866,-0.008896797153024938,412.14,412.34,0,15:59
2021-04-23,0.003185176214121288,0.011953494005086496,417.78,416.73,0,15:59
2021-04-26,0.0008624407072013174,-0.0002635235494227173,417.225,417.5,0,15:59
2021-04-27,-0.0025364312890335805,-0.00023928597066358304,417.78,417.36,1,15:59
2021-04-28,0.0013044206696823935,0.00023934324214369695,417.9,417.36,0,15:59
2021-04-29,-0.0018316325316967141,-0.0019148885558648576,419.57,420.04,0,15:59
2021-04-30,0.0021071787749629145,-0.0003112877735740316,417.485,417.33,0,15:59
2021-05-03,9.536524890330078e-05,-0.001966908258630551,418.6,418.16,0,15:59
2021-05-04,-0.005263663894630621,-0.005143488919867267,413.85,415.57,0,15:59
2021-05-05,-0.0017852008051375545,-0.004001725294737857,415.55,415.72,0,15:59
2021-05-06,-0.0023809523809523725,0.0029581529581528265,417.025,418.99,0,15:59
2021-05-07,0.0024171270718231774,0.00631072585254322,422.56,422.06,0,15:59
2021-05-10,-0.0014788349147007995,-0.007547973404632868,419.44,417.96,0,15:59
2021-05-11,0.004308884047446115,0.0033042846768336354,414.39,414.22,0,15:59
2021-05-12,0.00029197790700496995,-0.012847027908221675,405.65,405.48,0,15:59
2021-05-13,0.00687589018221102,0.010989145916212362,411.695,410.28,0,15:59
2021-05-14,0.003968830163109116,0.009183969798170377,417.06,416.39,0,15:59
2021-05-17,-0.001035221609649195,-0.0010111466884946685,414.915,415.46,0,15:59
2021-05-18,-0.001659451659451694,-0.003679653679653727,414.325,412.04,0,15:59
2021-05-19,0.0,0.007471123126075341,409.86,410.99,0,15:59
2021-05-20,0.0031205225964689998,0.011535005706792223,416.58,415.12,0,15:59
